id,year,violent,murder,robbery,prisoners,afam,cauc,male,population,income,density,law,State__alabama,State__alaska,State__albama,State__arizona,State__arkansas,State__california,State__colorado,State__connecticut,State__delaware,State__district of columbia,State__florida,State__georgia,State__hawaii,State__idaho,State__illinois,State__indiana,State__iowa,State__kansas,State__kentucky,State__louisiana,State__maine,State__maryland,State__massachusetts,State__michigan,State__minnesota,State__mississippi,State__missouri,State__montana,State__nebraska,State__nevada,State__new hampshire,State__new jersey,State__new mexico,State__new york,State__north carolina,State__north dakota,State__ohio,State__oklahoma,State__oregon,State__pennsylvania,State__rhode island,State__south carolina,State__south dakota,State__tennessee,State__texas,State__utah,State__vermont,State__virginia,State__washington,State__west virginia,State__wisconsin,State__wyoming
1,1977,414.4,14.2,96.8,83.0,8.384872999999999,55.12291,18.17441,3.7804029999999997,9563.148000000001,0.07455239999999999,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1978,419.1,13.3,99.1,94.0,8.352101,55.14366999999999,17.99408,3.831838,9932.0,0.07556669999999999,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1979,413.3,13.2,109.5,144.0,8.329575,55.13586,17.83934,3.866248,9877.028,0.0762453,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1980,448.5,13.2,132.1,141.0,8.408386,54.91259,17.7342,3.900368,9541.428,0.0768288,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1981,470.5,11.9,126.5,149.0,8.483435,54.92513,17.67372,3.9185309999999998,9548.351,0.07718660000000001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1982,447.7,10.6,112.0,183.0,8.514,54.896209999999996,17.51052,3.9252290000000003,9478.919,0.0773185,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1983,416.0,9.2,98.4,215.0,8.545608,54.83936,17.35089,3.934103,9783.0,0.0774933,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1984,431.2,9.4,96.1,243.0,8.559511,54.77876,17.119020000000003,3.951826,10357.2,0.07784239999999999,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1985,457.5,9.8,105.4,256.0,8.562801,54.67899,16.85875,3.97252,10725.86,0.07825,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1986,558.0,10.1,111.6,267.0,8.566521,54.51791,16.57609,3.991562,11091.62,0.0786251,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
